run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_d10-DecTree-Adult-sex-d5000000-4,Adult,DecTree,sex,regionft_d10,4,2813715,5000000,1,1755,108638,1068695,2293410,11.2762,11.3075,11.2933,11.2956,11.2888,11.2912,11.2903,11.2893,125.75,125.75,36.31,36.3,89.45,89.45,359
regionft_random-DecTree-Adult-sex-d5000000-0,Adult,DecTree,sex,regionft_random,0,53797,5000000,1,1466,34280,51420,53522,11.2694,11.2448,11.2479,11.2473,11.2524,11.2482,11.2495,11.246,92.69,92.69,24.11,24.11,68.58,68.58,1024
regionft_random-DecTree-Adult-sex-d5000000-1,Adult,DecTree,sex,regionft_random,1,59670,5000000,1,1475,35327,55928,59336,11.2442,11.2535,11.2576,11.2453,11.2495,11.2491,11.2492,11.2488,91.87,91.87,25.56,25.56,66.31,66.31,1024
regionft_random-DecTree-Adult-sex-d5000000-2,Adult,DecTree,sex,regionft_random,2,80742,5000000,1,1473,41438,72822,79929,11.2508,11.2142,11.2379,11.2397,11.2395,11.2383,11.2348,11.2378,90.72,90.72,22.41,22.41,68.31,68.31,1024
regionft_random-DecTree-Adult-sex-d5000000-3,Adult,DecTree,sex,regionft_random,3,69923,5000000,1,1456,40016,65442,69473,11.2576,11.2505,11.2489,11.2549,11.2519,11.2525,11.2522,11.2531,89.01,89.0,24.39,24.39,64.62,64.61,1024
regionft_random-DecTree-Adult-sex-d5000000-4,Adult,DecTree,sex,regionft_random,4,52665,5000000,1,1517,33801,49996,52406,11.2436,11.2526,11.2504,11.2457,11.247,11.2463,11.2451,11.248,89.39,89.39,22.8,22.8,66.59,66.59,1024
regionft_d10-DecTree-Adult-race-d5000000-0,Adult,DecTree,race,regionft_d10,0,4184752,5000000,1,1152,30308,209690,1327112,10.4078,10.4321,10.4611,10.4767,10.4529,10.4607,10.4612,10.458,190.97,190.96,34.64,34.64,156.32,156.32,265
regionft_d10-DecTree-Adult-race-d5000000-1,Adult,DecTree,race,regionft_d10,1,4267970,5000000,1,1324,33206,226920,1360394,10.4862,10.518,10.5568,10.49,10.5269,10.5153,10.5107,10.5095,198.98,198.97,45.07,45.06,153.91,153.91,383
regionft_d10-DecTree-Adult-race-d5000000-2,Adult,DecTree,race,regionft_d10,2,4461189,5000000,1,1283,33866,230945,1381525,10.4766,10.4834,10.493,10.4585,10.4643,10.4735,10.4693,10.478,180.96,180.95,33.07,33.06,147.89,147.89,281
regionft_d10-DecTree-Adult-race-d5000000-3,Adult,DecTree,race,regionft_d10,3,4259104,5000000,1,1275,33614,229726,1360672,10.4576,10.4994,10.4955,10.5098,10.4971,10.5147,10.5102,10.52,198.25,198.24,44.99,44.99,153.26,153.26,356
regionft_d10-DecTree-Adult-race-d5000000-4,Adult,DecTree,race,regionft_d10,4,4335752,5000000,1,1297,32326,225220,1363924,10.4715,10.5235,10.5068,10.4997,10.4956,10.5053,10.5081,10.5062,176.36,176.36,27.16,27.16,149.21,149.21,223
regionft_random-DecTree-Adult-race-d5000000-0,Adult,DecTree,race,regionft_random,0,127772,5000000,1,930,19005,71426,114421,10.3727,10.4097,10.4069,10.4221,10.3946,10.4069,10.4118,10.4054,149.22,149.22,34.35,34.35,114.87,114.87,1024
regionft_random-DecTree-Adult-race-d5000000-1,Adult,DecTree,race,regionft_random,1,95741,5000000,1,935,18549,60731,89604,10.4514,10.44,10.4844,10.472,10.4758,10.478,10.4794,10.4745,156.21,156.2,35.42,35.41,120.8,120.79,1024
regionft_random-DecTree-Adult-race-d5000000-2,Adult,DecTree,race,regionft_random,2,122016,5000000,1,915,19137,67850,111875,10.4666,10.4381,10.4407,10.4399,10.4394,10.4338,10.4373,10.434,147.15,147.15,34.0,34.0,113.15,113.15,1024
regionft_random-DecTree-Adult-race-d5000000-3,Adult,DecTree,race,regionft_random,3,153145,5000000,1,957,20517,71250,134796,10.5084,10.4358,10.4484,10.4479,10.4575,10.4432,10.4509,10.4493,152.24,152.24,34.98,34.98,117.26,117.26,1024
regionft_random-DecTree-Adult-race-d5000000-4,Adult,DecTree,race,regionft_random,4,161999,5000000,1,826,19622,78364,144305,10.4607,10.372,10.422,10.4018,10.4022,10.3907,10.3972,10.3984,144.89,144.89,34.1,34.1,110.79,110.79,1024
regionft_d10-DecTree-Adult-age-d5000000-0,Adult,DecTree,age,regionft_d10,0,4915977,5000000,1,4096,273036,3226220,4697650,11.5246,11.5139,11.5124,11.513,11.5163,11.515,11.515,11.5146,284.23,284.24,30.72,30.72,253.51,253.51,114
regionft_d10-DecTree-Adult-age-d5000000-1,Adult,DecTree,age,regionft_d10,1,4926999,5000000,1,4096,273068,3230743,4709194,11.5138,11.5131,11.5123,11.517,11.516,11.5152,11.5153,11.5151,277.49,277.48,26.83,26.82,250.66,250.66,147
regionft_d10-DecTree-Adult-age-d5000000-2,Adult,DecTree,age,regionft_d10,2,4920829,5000000,1,4096,272967,3229144,4701892,11.5342,11.5086,11.5126,11.514,11.5158,11.5145,11.5152,11.5147,289.3,289.3,34.15,34.15,255.15,255.15,132
regionft_d10-DecTree-Adult-age-d5000000-3,Adult,DecTree,age,regionft_d10,3,4919787,5000000,1,4096,272947,3229003,4701984,11.5159,11.5236,11.516,11.5157,11.5161,11.5149,11.5151,11.5148,283.03,283.03,28.84,28.83,254.19,254.19,138
regionft_d10-DecTree-Adult-age-d5000000-4,Adult,DecTree,age,regionft_d10,4,4920588,5000000,1,4096,273073,3229245,4702679,11.5252,11.5105,11.5118,11.5167,11.5145,11.5139,11.5148,11.5146,282.07,282.07,31.99,31.99,250.08,250.08,117
regionft_random-DecTree-Adult-age-d5000000-0,Adult,DecTree,age,regionft_random,0,2897749,5000000,1,4096,268745,2190258,2818051,11.5063,11.5285,11.5139,11.517,11.514,11.515,11.5144,11.5141,302.89,302.89,60.21,60.21,242.67,242.67,1024
regionft_random-DecTree-Adult-age-d5000000-1,Adult,DecTree,age,regionft_random,1,2922634,5000000,1,4096,268488,2196006,2840638,11.5264,11.5055,11.5156,11.5141,11.5144,11.5137,11.5142,11.5143,261.64,261.62,52.95,52.94,208.69,208.68,1024
regionft_random-DecTree-Adult-age-d5000000-2,Adult,DecTree,age,regionft_random,2,2983466,5000000,1,4096,268567,2216800,2898804,11.5334,11.5284,11.5102,11.5151,11.5146,11.5146,11.5141,11.5146,297.52,297.51,56.83,56.83,240.68,240.68,1024
regionft_random-DecTree-Adult-age-d5000000-3,Adult,DecTree,age,regionft_random,3,2972457,5000000,1,4096,268680,2213256,2886672,11.5159,11.5088,11.5167,11.512,11.5142,11.5126,11.5137,11.5138,261.58,261.57,54.09,54.09,207.49,207.49,1024
regionft_random-DecTree-Adult-age-d5000000-4,Adult,DecTree,age,regionft_random,4,2933588,5000000,1,4096,268436,2204045,2852038,11.5287,11.5139,11.5184,11.5128,11.516,11.514,11.5149,11.5146,296.64,296.64,57.43,57.43,239.2,239.21,1024
regionft_d10-GBDT-Bank-age-d5000000-0,Bank,GBDT,age,regionft_d10,0,2734467,5000000,1,32767,922679,2322391,2582661,11.9928,11.9606,11.9515,11.9514,11.9471,11.9422,11.9496,11.9479,443.28,443.27,172.66,172.66,270.62,270.62,869
regionft_d10-GBDT-Bank-age-d5000000-1,Bank,GBDT,age,regionft_d10,1,2770446,5000000,1,32768,937351,2350100,2615460,11.9629,11.9528,11.9531,11.9518,11.9494,11.9519,11.9496,11.95,462.78,462.77,191.75,191.74,271.03,271.03,952
regionft_d10-GBDT-Bank-age-d5000000-2,Bank,GBDT,age,regionft_d10,2,2726513,5000000,1,32767,915906,2315461,2573306,11.994,11.96,11.9412,11.9393,11.9448,11.9385,11.9439,11.9452,465.17,465.16,190.07,190.06,275.1,275.1,933
regionft_d10-GBDT-Bank-age-d5000000-3,Bank,GBDT,age,regionft_d10,3,2792890,5000000,1,32768,938163,2363704,2633358,11.9205,11.9842,11.9596,11.9518,11.9555,11.9491,11.9503,11.9522,457.6,457.59,185.86,185.85,271.73,271.74,913
