dataset,model,protected,max_depth,repeats,n_idi,n_test,cov2,cov3,cov4,cov5,n_regions,partition_cpu,generation_cpu,real_time,cpu_time
Adult,MLP,race,6,5,353162.6,5000000.0,3039.2,122771.6,306541.6,345708.6,63.8,12.126,181.356,193.486,193.48
Adult,MLP,race,8,5,405788.8,5000000.0,3041.8,127789.2,343157.2,395303.4,253.0,39.928,183.768,223.696,223.69
Adult,MLP,race,10,5,459379.4,5000000.0,3045.0,132273.4,380186.4,445732.4,1004.0,134.95,186.99,321.946,321.942
Adult,MLP,race,12,5,521779.8,5000000.0,3046.0,136377.8,421056.0,503847.6,3981.8,504.524,195.384,699.926,699.908
Adult,LogReg,sex,2,5,187029.0,5000000.0,2034.4,99431.8,178582.6,186279.0,3.8,0.936,65.0,65.94,65.938
Adult,LogReg,sex,4,5,218880.0,5000000.0,2036.2,107512.0,207773.8,217863.0,12.8,2.398,64.64,67.04,67.036
Adult,LogReg,sex,6,5,249358.2,5000000.0,2037.4,113304.4,234813.4,247992.6,47.8,5.822,66.692,72.51,72.51
Adult,LogReg,sex,8,5,279423.4,5000000.0,2037.2,118173.2,261370.4,277719.2,184.2,18.23,65.876,84.108,84.106
Adult,LogReg,sex,10,5,316027.2,5000000.0,2038.4,123130.6,292939.4,313866.4,718.0,64.38,67.996,132.382,132.376
Adult,LogReg,sex,12,5,358603.2,5000000.0,2040.4,128179.4,328792.8,355801.8,2819.6,232.11,71.04,303.152,303.15
Adult,LogReg,race,2,5,213943.6,5000000.0,2033.2,86148.2,195795.6,211581.8,3.8,0.876,120.418,121.292,121.292
Adult,LogReg,race,4,5,261268.4,5000000.0,2036.4,92175.6,235279.8,257784.8,12.4,2.878,120.52,123.4,123.398
Adult,LogReg,race,6,5,291332.2,5000000.0,2038.2,94229.4,259445.4,287080.4,46.0,7.126,120.688,127.818,127.814
Adult,LogReg,race,8,5,338179.4,5000000.0,2037.0,97458.8,295675.6,332451.8,178.6,21.846,121.506,143.354,143.35
Adult,LogReg,race,10,5,386947.2,5000000.0,2041.4,99439.8,331773.8,379442.0,696.8,77.232,124.338,201.578,201.574
Adult,LogReg,race,12,5,441362.0,5000000.0,2040.4,101283.2,370782.2,431731.4,2718.4,282.97,130.984,413.964,413.954
Adult,LogReg,age,2,5,1338246.6,5000000.0,2048.0,111932.4,829199.2,1258470.0,4.0,1.296,219.468,220.772,220.764
Adult,LogReg,age,4,5,1603981.2,5000000.0,2048.0,112612.8,945522.4,1496978.4,15.6,4.284,224.808,229.102,229.09
Adult,LogReg,age,6,5,1937449.4,5000000.0,2048.0,112980.4,1053791.0,1783866.2,59.6,10.88,221.924,232.806,232.804
Adult,LogReg,age,8,5,2293001.6,5000000.0,2048.0,112938.8,1153924.8,2080987.0,231.6,40.41,230.106,270.528,270.518
Adult,LogReg,age,10,5,2600370.8,5000000.0,2048.0,113432.2,1230007.8,2337016.4,909.2,136.456,229.496,365.962,365.956
Adult,LogReg,age,12,5,2896714.8,5000000.0,2048.0,113681.8,1288337.2,2574557.6,3580.8,502.452,239.47,741.93,741.92
Credit,GBDT,age,2,5,681321.6,5000000.0,295658.6,676449.8,681168.8,681284.8,4.0,1.436,212.904,214.35,214.338
Credit,GBDT,age,4,5,778182.4,5000000.0,303228.8,771144.0,777958.8,778126.8,16.0,4.672,217.544,222.222,222.214
Credit,GBDT,age,6,5,912384.2,5000000.0,317993.0,902111.4,912035.4,912300.4,63.8,14.254,215.908,230.172,230.16
Credit,GBDT,age,8,5,1081413.6,5000000.0,331332.2,1065003.6,1080852.2,1081286.6,253.2,47.914,220.5,268.422,268.412
Credit,GBDT,age,10,5,1247565.8,5000000.0,346050.8,1224521.4,1246816.6,1247384.6,1002.6,168.484,219.712,388.214,388.194
Credit,GBDT,age,12,5,1428806.4,5000000.0,359727.2,1398022.4,1427798.8,1428582.0,3944.2,608.748,219.944,828.716,828.692
Credit,MLP,sex,2,5,377179.2,5000000.0,178266.8,375643.2,377157.8,377174.4,4.0,1.028,85.29,86.324,86.318
Credit,MLP,sex,4,5,419088.6,5000000.0,189480.6,417156.8,419060.4,419081.8,15.8,2.672,84.23,86.904,86.902
Credit,MLP,sex,6,5,449363.4,5000000.0,196828.8,447059.8,449330.8,449353.4,61.2,7.662,83.458,91.124,91.12
Credit,MLP,sex,8,5,488127.8,5000000.0,205400.0,485362.4,488087.4,488119.4,239.8,26.106,85.106,111.216,111.214
Credit,MLP,sex,10,5,523876.2,5000000.0,213277.2,520563.0,523824.0,523864.0,935.6,85.832,83.882,169.72,169.714
Credit,MLP,sex,12,5,568076.2,5000000.0,221619.8,564064.4,568017.8,568059.2,3632.2,307.07,87.182,394.264,394.254
Credit,MLP,age,2,5,840107.8,5000000.0,212894.2,828240.6,839807.0,840030.6,4.0,1.39,202.812,204.212,204.202
Credit,MLP,age,4,5,978978.0,5000000.0,218622.4,961987.4,978538.8,978863.6,16.0,3.802,209.176,212.986,212.978
Credit,MLP,age,6,5,1080530.2,5000000.0,223927.2,1059480.4,1079938.2,1080382.4,63.6,13.086,214.284,227.376,227.366
Credit,MLP,age,8,5,1183483.8,5000000.0,229168.6,1157816.6,1182726.6,1183295.0,250.4,41.362,211.75,253.12,253.116
Credit,MLP,age,10,5,1291029.8,5000000.0,236407.0,1260573.0,1290068.8,1290809.8,989.4,143.528,211.714,355.254,355.244
Credit,MLP,age,12,5,1409396.4,5000000.0,243212.6,1372746.6,1408265.0,1409128.8,3877.0,518.364,213.306,731.678,731.666
Credit,LogReg,sex,2,5,338246.0,5000000.0,175521.4,336941.6,338224.6,338240.8,4.0,0.822,75.224,76.05,76.048
Credit,LogReg,sex,4,5,363829.2,5000000.0,183734.2,362355.0,363800.6,363824.2,16.0,3.258,77.132,80.392,80.388
Credit,LogReg,sex,6,5,396642.6,5000000.0,194021.2,394909.6,396609.8,396631.2,64.0,9.616,76.284,85.904,85.904
Credit,LogReg,sex,8,5,425131.2,5000000.0,202810.4,423119.8,425095.0,425120.6,253.4,28.396,77.028,105.428,105.428
Credit,LogReg,sex,10,5,455074.2,5000000.0,210982.0,452767.6,455036.0,455064.6,1001.2,94.354,77.86,172.224,172.214
Credit,LogReg,sex,12,5,491760.8,5000000.0,219900.2,489039.6,491718.4,491749.4,3954.2,341.292,80.412,421.716,421.708
Credit,LogReg,age,2,5,798949.4,5000000.0,252455.6,788974.4,798718.6,798889.4,4.0,1.072,189.016,190.102,190.084
Credit,LogReg,age,4,5,887892.0,5000000.0,266276.6,875699.8,887622.2,887815.4,15.8,4.346,188.638,192.992,192.984
Credit,LogReg,age,6,5,965738.0,5000000.0,277192.0,951240.4,965395.4,965653.6,62.6,12.952,189.454,202.412,202.408
Credit,LogReg,age,8,5,1046939.8,5000000.0,287039.0,1029747.0,1046567.2,1046854.4,249.8,39.994,186.264,226.268,226.26
Credit,LogReg,age,10,5,1136746.0,5000000.0,296985.0,1116531.8,1136297.4,1136637.4,990.4,143.468,186.568,330.05,330.04
Credit,LogReg,age,12,5,1241933.0,5000000.0,306529.6,1217716.4,1241392.4,1241794.6,3919.4,522.086,193.166,715.272,715.256
Credit,DecTree,sex,2,5,550653.6,5000000.0,81858.8,537745.6,549941.6,550490.0,4.0,0.952,77.052,78.006,78.004
Credit,DecTree,sex,4,5,1894347.4,5000000.0,113852.2,1750130.6,1885962.2,1892644.4,12.2,2.242,82.336,84.582,84.578
Credit,DecTree,sex,6,5,3951212.0,5000000.0,122447.6,3470427.8,3921218.2,3945301.8,23.4,4.68,91.376,96.054,96.05
Credit,DecTree,sex,8,5,4981460.2,5000000.0,122633.4,4271453.0,4934856.4,4972145.6,32.2,5.382,94.952,100.336,100.336
Credit,DecTree,sex,10,5,4996888.8,5000000.0,122637.0,4283008.2,4950024.0,4987520.0,33.2,5.632,93.966,99.602,99.6
Credit,DecTree,sex,12,5,4996888.8,5000000.0,122637.0,4283008.2,4950024.0,4987520.0,33.2,5.702,93.112,98.816,98.812
Credit,DecTree,age,2,5,3276980.4,5000000.0,173280.0,3026057.6,3266880.6,3274655.4,3.0,1.074,206.228,207.31,207.304
Credit,DecTree,age,4,5,4081523.0,5000000.0,183602.8,3681017.2,4066511.4,4078138.0,8.0,2.22,206.766,208.988,208.984
Credit,DecTree,age,6,5,4562736.2,5000000.0,184619.4,4112645.4,4544727.2,4558585.2,25.0,4.422,204.992,209.416,209.414
Credit,DecTree,age,8,5,4813189.2,5000000.0,185201.0,4330416.4,4793561.8,4808681.2,60.0,10.466,210.79,221.256,221.25
Credit,DecTree,age,10,5,4935631.2,5000000.0,185484.8,4428204.2,4915325.0,4930947.6,120.8,20.194,210.948,231.148,231.144
Credit,DecTree,age,12,5,4986546.0,5000000.0,185638.0,4470855.8,4966058.0,4981808.4,223.4,37.634,208.208,245.844,245.838
Bank,MLP,age,2,5,1160799.0,5000000.0,23411.8,463918.4,1000387.0,1105903.8,4.0,1.786,305.104,306.904,306.89
Bank,MLP,age,4,5,1330093.0,5000000.0,23588.6,514565.2,1130020.4,1260016.6,16.0,4.842,301.618,306.476,306.46
Bank,MLP,age,6,5,1456827.6,5000000.0,23635.0,543606.0,1218288.0,1373009.2,63.8,17.71,305.914,323.634,323.624
Bank,MLP,age,8,5,1562094.8,5000000.0,23603.8,565527.6,1291352.4,1465704.4,251.6,55.394,301.438,356.846,356.832
Bank,MLP,age,10,5,1682247.6,5000000.0,23669.0,586461.6,1370798.2,1569892.8,992.4,197.048,307.376,504.446,504.422
Bank,MLP,age,12,5,1808424.2,5000000.0,23774.0,606655.6,1454292.4,1679427.4,3916.2,693.722,301.038,994.782,994.76
Bank,LogReg,age,2,5,240594.2,5000000.0,10853.0,150839.6,224034.4,234659.0,4.0,1.21,210.718,211.934,211.926
Bank,LogReg,age,4,5,288880.4,5000000.0,11084.6,169000.8,266651.8,280821.4,15.6,4.152,214.834,218.992,218.986
Bank,LogReg,age,6,5,343522.2,5000000.0,11264.6,190356.4,313863.0,332555.6,59.4,13.94,215.466,229.412,229.408
Bank,LogReg,age,8,5,407621.4,5000000.0,11350.6,212211.0,367863.6,392533.0,223.4,40.96,217.2,258.164,258.16
Bank,LogReg,age,10,5,518442.8,5000000.0,11490.0,240278.0,456016.6,494076.4,809.4,134.008,220.07,354.082,354.078
Bank,LogReg,age,12,5,647582.8,5000000.0,11605.2,264552.0,551551.8,609321.8,2774.8,431.584,219.534,651.126,651.114
Bank,DecTree,age,2,5,1676565.8,5000000.0,32590.4,685076.0,1499186.6,1613559.0,4.0,1.558,232.438,234.002,233.994
Bank,DecTree,age,4,5,2219272.6,5000000.0,32578.8,763089.6,1865286.4,2091120.2,16.0,4.954,232.45,237.412,237.406
Bank,DecTree,age,6,5,2651882.2,5000000.0,32584.4,836513.2,2162544.8,2466374.8,59.6,15.902,233.162,249.07,249.066
Bank,DecTree,age,8,5,3045628.2,5000000.0,32575.0,906151.4,2456451.6,2815032.8,203.0,42.406,235.024,277.44,277.434
Bank,DecTree,age,10,5,3530480.0,5000000.0,32569.8,968091.2,2814023.8,3246895.2,616.2,115.298,237.092,352.4,352.39
Bank,DecTree,age,12,5,3993696.0,5000000.0,32571.6,1022972.8,3148485.4,3657046.8,1701.8,299.572,240.928,540.52,540.5
Lsac,GBDT,sex,2,5,170411.8,5000000.0,965.0,17612.0,63829.4,117970.4,4.0,1.364,85.786,87.156,87.156
Lsac,GBDT,sex,4,5,196835.0,5000000.0,964.6,17466.4,64337.8,125920.6,16.0,4.326,83.434,87.762,87.76
Lsac,GBDT,sex,6,5,216271.2,5000000.0,966.6,18505.2,67317.0,133402.4,62.8,11.152,85.62,96.776,96.774
Lsac,GBDT,sex,8,5,269517.8,5000000.0,956.2,19282.4,71312.0,148985.2,246.6,36.972,88.296,125.274,125.266
Lsac,GBDT,sex,10,5,330121.8,5000000.0,954.6,19992.4,75216.0,163415.4,950.0,117.314,87.394,204.712,204.704
Lsac,GBDT,sex,12,5,403502.2,5000000.0,952.4,20644.6,79485.8,179536.0,3547.8,386.916,89.062,475.992,475.978
Lsac,GBDT,race,2,5,693472.2,5000000.0,1020.0,21872.2,112851.2,295374.6,4.0,1.488,103.842,105.332,105.332
Lsac,GBDT,race,4,5,856220.4,5000000.0,1018.6,21377.4,111919.4,310663.2,16.0,4.606,105.308,109.916,109.916
Lsac,GBDT,race,6,5,1088116.4,5000000.0,1015.8,21229.6,114331.6,338209.8,63.8,12.692,109.842,122.536,122.532
Lsac,GBDT,race,8,5,1317282.4,5000000.0,1012.6,21576.0,120106.2,367264.0,251.6,42.648,111.89,154.546,154.544
Lsac,GBDT,race,10,5,1606532.6,5000000.0,1010.2,21755.4,124839.2,398835.2,975.4,136.334,112.08,248.426,248.414
Lsac,GBDT,race,12,5,1868016.8,5000000.0,1013.6,22080.8,129777.2,430588.6,3680.6,453.94,115.838,569.794,569.782
Lsac,MLP,sex,2,5,96321.6,5000000.0,1016.6,22756.6,71227.4,89838.6,4.0,1.34,72.026,73.368,73.368
Lsac,MLP,sex,4,5,115086.0,5000000.0,1016.0,22786.0,79273.6,105350.4,16.0,3.622,71.124,74.746,74.746
Lsac,MLP,sex,6,5,131888.4,5000000.0,1019.0,23097.8,86922.0,119411.0,63.4,12.598,74.152,86.752,86.75
Lsac,MLP,sex,8,5,152406.2,5000000.0,1017.8,23318.2,94100.6,135675.6,250.0,34.97,74.444,109.418,109.414
Lsac,MLP,sex,10,5,162807.2,5000000.0,1017.2,23543.8,97567.4,143316.4,977.8,112.396,74.648,187.05,187.044
