run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
aft-MLP-Adult-age-1200-3,Adult,MLP,age,aft,3,2156608,2255201,1,2718,81199,307236,496967,10.9376,10.8398,10.8661,10.884,10.8844,10.8689,10.8733,10.8727,1205.84,1205.76,,,,,
aft-MLP-Adult-age-1200-4,Adult,MLP,age,aft,4,2158051,2203853,1,2784,54642,169861,357403,10.5584,10.5168,10.5491,10.5826,10.5612,10.5548,10.5532,10.5569,1200.78,1200.68,,,,,
expga-MLP-Adult-age-1200-0,Adult,MLP,age,expga,0,407529,576200,1,1526,30101,120120,274156,10.6898,10.6699,10.6698,10.6881,10.6811,10.6765,10.6766,10.6753,1200.1,1200.1,,,,,
expga-MLP-Adult-age-1200-1,Adult,MLP,age,expga,1,401122,573623,1,1385,30715,123019,272148,10.6434,10.6503,10.672,10.6747,10.6736,10.6811,10.6774,10.6818,1200.09,1200.03,,,,,
expga-MLP-Adult-age-1200-2,Adult,MLP,age,expga,2,401773,574126,1,1494,31758,126976,276031,10.7066,10.6965,10.6931,10.6958,10.7009,10.7043,10.7041,10.7009,1200.07,1200.03,,,,,
expga-MLP-Adult-age-1200-3,Adult,MLP,age,expga,3,405224,574622,1,1307,30368,123274,276194,10.6749,10.6706,10.6923,10.6827,10.6854,10.6831,10.6833,10.6826,1200.09,1200.07,,,,,
expga-MLP-Adult-age-1200-4,Adult,MLP,age,expga,4,402974,574128,1,1587,31691,123391,275666,10.7007,10.6847,10.691,10.6825,10.6857,10.6857,10.6853,10.6855,1200.16,1200.09,,,,,
grft-MLP-Adult-age-1200-0,Adult,MLP,age,grft,0,5194402,15327618,1,558,7980,43333,123816,9.353,9.3074,9.4004,9.3648,9.3771,9.3424,9.3609,9.3446,1223.31,1222.9,,,,,
grft-MLP-Adult-age-1200-1,Adult,MLP,age,grft,1,3901949,15287906,1,584,5760,25512,64532,8.8743,8.8918,8.9336,8.967,8.9901,8.9543,8.9618,8.9611,1217.92,1217.5,,,,,
grft-MLP-Adult-age-1200-2,Adult,MLP,age,grft,2,4271246,15285401,1,620,6802,31144,82287,9.593,9.6396,9.554,9.6028,9.5898,9.574,9.5571,9.5752,1220.36,1219.88,,,,,
grft-MLP-Adult-age-1200-3,Adult,MLP,age,grft,3,4316595,15212089,1,671,7484,34323,91262,9.3884,9.2718,9.2416,9.2147,9.2118,9.231,9.2299,9.23,1220.24,1219.86,,,,,
grft-MLP-Adult-age-1200-4,Adult,MLP,age,grft,4,4461077,15407864,1,596,6824,29178,88361,9.1251,9.1507,9.1879,9.1446,9.1511,9.1227,9.1428,9.1387,1221.05,1220.69,,,,,
limi-MLP-Adult-age-1200-0,Adult,MLP,age,limi,0,141343,296288,1,269,1902,4967,10038,7.2531,7.3333,7.3622,7.3534,7.3691,7.3605,7.3664,7.368,634.72,,,,,,
limi-MLP-Adult-age-1200-1,Adult,MLP,age,limi,1,141343,296288,1,269,1902,4967,10038,7.2531,7.3333,7.3622,7.3534,7.3691,7.3605,7.3664,7.368,625.82,,,,,,
limi-MLP-Adult-age-1200-2,Adult,MLP,age,limi,2,141343,296288,1,269,1902,4967,10038,7.2531,7.3333,7.3622,7.3534,7.3691,7.3605,7.3664,7.368,630.88,,,,,,
limi-MLP-Adult-age-1200-3,Adult,MLP,age,limi,3,141343,296288,1,269,1902,4967,10038,7.2531,7.3333,7.3622,7.3534,7.3691,7.3605,7.3664,7.368,633.43,,,,,,
limi-MLP-Adult-age-1200-4,Adult,MLP,age,limi,4,141343,296288,1,269,1902,4967,10038,7.2531,7.3333,7.3622,7.3534,7.3691,7.3605,7.3664,7.368,634.5,,,,,,
sg-MLP-Adult-age-1200-0,Adult,MLP,age,sg,0,5639,7404,1,212,720,1363,1853,8.1711,8.1317,8.2011,8.1679,8.1592,8.174,8.1789,8.1741,1200.03,1200.04,,,,,
sg-MLP-Adult-age-1200-1,Adult,MLP,age,sg,1,5776,7403,1,255,888,1431,1993,8.1429,8.1278,8.1293,8.1719,8.1804,8.1579,8.1548,8.1489,1200.02,1200.01,,,,,
sg-MLP-Adult-age-1200-2,Adult,MLP,age,sg,2,5913,7419,1,181,725,1306,1675,7.5716,7.5262,7.6336,7.6017,7.6084,7.6243,7.6066,7.6078,1200.1,1200.1,,,,,
sg-MLP-Adult-age-1200-3,Adult,MLP,age,sg,3,5703,7319,1,255,883,1419,1979,8.2787,8.1178,8.1329,8.1474,8.1356,8.1336,8.1421,8.14,1200.18,1200.16,,,,,
sg-MLP-Adult-age-1200-4,Adult,MLP,age,sg,4,5398,7756,1,272,833,1222,1597,7.7858,7.961,7.8376,7.9045,7.8847,7.8725,7.8811,7.872,1200.06,1200.07,,,,,
regionft-MLP-Adult-age-1200-0,Adult,MLP,age,regionft,0,7884190,16746535,1,3103,202251,2280969,6210070,11.5074,11.502,11.5001,11.5028,11.5001,11.5008,11.5002,11.5007,1200.09,1200.02,192.96,192.94,1007.13,1007.08,1021
regionft-MLP-Adult-age-1200-1,Adult,MLP,age,regionft,1,7988519,16938872,1,3122,204389,2315219,6275328,11.5037,11.5042,11.5013,11.5018,11.5034,11.5017,11.5023,11.5018,1207.22,1207.22,195.12,195.12,1012.11,1012.1,1019
regionft-MLP-Adult-age-1200-2,Adult,MLP,age,regionft,2,8208192,16895949,1,3124,203928,2319794,6405665,11.5113,11.5033,11.4986,11.5047,11.5007,11.5008,11.5011,11.5009,1200.09,1200.03,188.52,188.5,1011.58,1011.53,1017
regionft-MLP-Adult-age-1200-3,Adult,MLP,age,regionft,3,7370594,15675897,1,3072,202231,2241268,5894118,11.4784,11.5046,11.4945,11.5016,11.5005,11.5016,11.5016,11.5015,1200.02,1200.02,204.02,204.02,996.0,996.0,1021
regionft-MLP-Adult-age-1200-4,Adult,MLP,age,regionft,4,7812406,16118429,1,3073,202272,2268321,6134180,11.4975,11.5048,11.5046,11.5018,11.501,11.5011,11.5014,11.5015,1201.29,1201.28,203.24,203.24,998.05,998.04,1009
aft-LogReg-Adult-sex-1200-0,Adult,LogReg,sex,aft,0,225629,2029197,1,2036,108538,213727,224454,10.9613,10.9576,10.9409,10.9432,10.9435,10.9417,10.9417,10.9421,1200.09,1200.07,,,,,
aft-LogReg-Adult-sex-1200-1,Adult,LogReg,sex,aft,1,219533,1967842,1,2031,105273,207837,218364,10.9409,10.935,10.9318,10.9378,10.9384,10.9409,10.9375,10.9381,1200.23,1200.2,,,,,
aft-LogReg-Adult-sex-1200-2,Adult,LogReg,sex,aft,2,225358,2024558,1,2037,107530,212983,224087,10.958,10.9465,10.9473,10.9474,10.9459,10.946,10.9455,10.9464,1200.13,1200.11,,,,,
aft-LogReg-Adult-sex-1200-3,Adult,LogReg,sex,aft,3,221383,2006342,1,2032,108486,209831,220273,10.9546,10.9573,10.9447,10.9519,10.9491,10.9464,10.9473,10.9477,1200.16,1200.14,,,,,
aft-LogReg-Adult-sex-1200-4,Adult,LogReg,sex,aft,4,225150,2003469,1,2036,108142,213388,224011,10.9208,10.9291,10.9349,10.9331,10.936,10.9331,10.9314,10.9316,1200.27,1200.24,,,,,
expga-LogReg-Adult-sex-1200-0,Adult,LogReg,sex,expga,0,653333,3976213,1,1966,57284,177448,327029,10.6307,10.6198,10.6287,10.6316,10.6297,10.632,10.6325,10.6348,1200.06,1200.0,,,,,
expga-LogReg-Adult-sex-1200-1,Adult,LogReg,sex,expga,1,656373,3975092,1,2042,56852,193525,331262,10.6273,10.6223,10.6355,10.6383,10.6373,10.6385,10.6395,10.6407,1200.08,1200.01,,,,,
expga-LogReg-Adult-sex-1200-2,Adult,LogReg,sex,expga,2,655938,3978731,1,2024,62248,199717,334780,10.7224,10.7141,10.7252,10.7202,10.7205,10.7229,10.7218,10.7239,1200.08,1200.01,,,,,
expga-LogReg-Adult-sex-1200-3,Adult,LogReg,sex,expga,3,656446,3989753,1,1951,51668,197356,337880,10.6225,10.6418,10.6292,10.6307,10.6318,10.6293,10.6332,10.6297,1200.1,1200.01,,,,,
expga-LogReg-Adult-sex-1200-4,Adult,LogReg,sex,expga,4,649776,3957096,1,2042,60056,204139,332996,10.665,10.6685,10.6599,10.66,10.667,10.6593,10.6591,10.6604,1200.07,1200.0,,,,,
grft-LogReg-Adult-sex-1200-0,Adult,LogReg,sex,grft,0,8807090,38284778,1,710,14244,90049,267912,9.8578,9.8287,9.8318,9.778,9.7883,9.8,9.8203,9.8116,1231.22,1230.71,,,,,
grft-LogReg-Adult-sex-1200-1,Adult,LogReg,sex,grft,1,11128312,41361260,1,848,15618,93048,283150,9.8767,9.8775,9.8475,9.8963,9.8526,9.8674,9.8686,9.8785,1238.57,1238.07,,,,,
