run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_d6-MLP-Adult-age-d5000000-2,Adult,MLP,age,regionft_d6,2,1992864,5000000,1,3075,174211,1166134,1852519,11.4909,11.4988,11.4966,11.5,11.4983,11.4987,11.4986,11.4983,336.22,336.19,15.97,15.97,320.25,320.22,64
regionft_d6-MLP-Adult-age-d5000000-3,Adult,MLP,age,regionft_d6,3,1966848,5000000,1,3074,175551,1156962,1834199,11.5334,11.5084,11.4981,11.4979,11.499,11.4995,11.5,11.4991,341.68,341.68,21.6,21.6,320.08,320.08,64
regionft_d6-MLP-Adult-age-d5000000-4,Adult,MLP,age,regionft_d6,4,1943608,5000000,1,3076,174332,1144426,1808326,11.5104,11.4924,11.4995,11.4974,11.4975,11.4971,11.4976,11.4983,335.56,335.53,15.75,15.75,319.81,319.79,64
regionft_d8-MLP-Adult-age-d5000000-0,Adult,MLP,age,regionft_d8,0,2283134,5000000,1,3072,177309,1265214,2106695,11.4973,11.5015,11.5041,11.4989,11.4977,11.499,11.4997,11.4994,380.28,380.27,54.17,54.17,326.1,326.1,249
regionft_d8-MLP-Adult-age-d5000000-1,Adult,MLP,age,regionft_d8,1,2247817,5000000,1,3073,176436,1260809,2078185,11.5042,11.4863,11.4982,11.5,11.4995,11.4988,11.4994,11.5,400.27,400.26,63.96,63.96,336.31,336.3,256
regionft_d8-MLP-Adult-age-d5000000-2,Adult,MLP,age,regionft_d8,2,2284043,5000000,1,3075,177199,1267358,2103456,11.5115,11.4996,11.5005,11.498,11.4989,11.4991,11.4997,11.4994,376.19,376.18,53.52,53.52,322.67,322.66,255
regionft_d8-MLP-Adult-age-d5000000-3,Adult,MLP,age,regionft_d8,3,2282569,5000000,1,3073,178115,1262363,2105871,11.5071,11.507,11.5017,11.4996,11.4992,11.5003,11.4999,11.4998,387.85,387.84,64.68,64.68,323.17,323.16,256
regionft_d8-MLP-Adult-age-d5000000-4,Adult,MLP,age,regionft_d8,4,2230084,5000000,1,3075,177489,1252598,2056256,11.4999,11.4988,11.4981,11.4995,11.499,11.499,11.4989,11.499,377.38,377.34,54.72,54.72,322.66,322.62,256
regionft_d10-GBDT-Credit-sex-d5000000-0,Credit,GBDT,sex,regionft_d10,0,571937,5000000,1,151131,565324,571676,571873,14.4057,14.4296,14.4212,14.4223,14.4362,14.4255,14.4249,14.425,152.87,152.86,60.48,60.47,92.38,92.38,696
regionft_d10-GBDT-Credit-sex-d5000000-1,Credit,GBDT,sex,regionft_d10,1,592823,5000000,1,154323,585783,592527,592728,14.4439,14.4174,14.4388,14.4195,14.4283,14.4323,14.4302,14.4304,167.38,167.38,74.92,74.92,92.46,92.46,793
regionft_d10-GBDT-Credit-sex-d5000000-2,Credit,GBDT,sex,regionft_d10,2,542949,5000000,1,153060,537270,542732,542896,14.4459,14.4502,14.456,14.4416,14.4348,14.4367,14.437,14.4388,171.54,171.53,78.05,78.04,93.49,93.49,856
regionft_d10-GBDT-Credit-sex-d5000000-3,Credit,GBDT,sex,regionft_d10,3,588298,5000000,1,155251,581201,588018,588196,14.4823,14.4415,14.4294,14.4318,14.4383,14.4355,14.4345,14.4368,170.89,170.89,77.87,77.87,93.02,93.02,823
regionft_d10-GBDT-Credit-sex-d5000000-4,Credit,GBDT,sex,regionft_d10,4,624408,5000000,1,155423,616167,624060,624291,14.4521,14.4109,14.4224,14.4298,14.4317,14.4283,14.4324,14.4328,176.13,176.12,82.33,82.33,93.79,93.79,918
regionft_d12-GBDT-Credit-sex-d5000000-0,Credit,GBDT,sex,regionft_d12,0,616146,5000000,1,157504,608426,615833,616067,14.4024,14.4221,14.4408,14.4317,14.4314,14.4267,14.4241,14.4288,325.78,325.78,229.09,229.09,96.69,96.69,2727
regionft_d12-GBDT-Credit-sex-d5000000-1,Credit,GBDT,sex,regionft_d12,1,676037,5000000,1,161707,666957,675669,675924,14.4643,14.3977,14.4173,14.4249,14.4196,14.4251,14.4236,14.4257,370.93,370.92,273.79,273.79,97.13,97.13,3100
regionft_d12-GBDT-Credit-sex-d5000000-2,Credit,GBDT,sex,regionft_d12,2,596808,5000000,1,158200,589706,596511,596739,14.4371,14.4105,14.4334,14.426,14.4316,14.4352,14.4308,14.4295,382.09,382.09,284.31,284.31,97.78,97.78,3356
regionft_d12-GBDT-Credit-sex-d5000000-3,Credit,GBDT,sex,regionft_d12,3,662077,5000000,1,160718,652961,661703,661966,14.4131,14.4495,14.4184,14.4228,14.4211,14.4256,14.4286,14.4292,374.66,374.65,277.68,277.67,96.98,96.98,3229
regionft_d12-GBDT-Credit-sex-d5000000-4,Credit,GBDT,sex,regionft_d12,4,713092,5000000,1,162462,702453,712642,712981,14.4296,14.4206,14.4305,14.4243,14.4246,14.4248,14.4272,14.4232,401.94,401.93,304.59,304.58,97.35,97.35,3635
regionft_d2-GBDT-Credit-sex-d5000000-0,Credit,GBDT,sex,regionft_d2,0,364789,5000000,1,144686,362425,364706,364766,14.5161,14.4911,14.4749,14.4763,14.4699,14.4718,14.4728,14.4718,91.25,91.25,0.86,0.86,90.4,90.39,4
regionft_d2-GBDT-Credit-sex-d5000000-1,Credit,GBDT,sex,regionft_d2,1,449439,5000000,1,144570,445142,449286,449397,14.5159,14.474,14.4757,14.477,14.4687,14.4705,14.4748,14.473,102.82,102.82,1.79,1.79,101.03,101.03,4
regionft_d2-GBDT-Credit-sex-d5000000-2,Credit,GBDT,sex,regionft_d2,2,362244,5000000,1,139630,359700,362159,362220,14.5037,14.5211,14.4828,14.4886,14.4927,14.4893,14.4937,14.4903,91.31,91.31,0.84,0.84,90.46,90.46,4
regionft_d2-GBDT-Credit-sex-d5000000-3,Credit,GBDT,sex,regionft_d2,3,407132,5000000,1,145501,403892,407039,407110,14.4475,14.4796,14.4932,14.4792,14.4786,14.4794,14.4792,14.4805,102.46,102.46,1.71,1.71,100.76,100.76,4
regionft_d2-GBDT-Credit-sex-d5000000-4,Credit,GBDT,sex,regionft_d2,4,411255,5000000,1,143101,408151,411130,411224,14.4678,14.4337,14.4041,14.4156,14.4205,14.4166,14.4162,14.4195,92.75,92.75,0.84,0.84,91.91,91.91,4
regionft_d4-GBDT-Credit-sex-d5000000-0,Credit,GBDT,sex,regionft_d4,0,453451,5000000,1,148388,449435,453295,453411,14.4508,14.459,14.4659,14.4474,14.4545,14.4532,14.4521,14.4532,93.45,93.45,2.15,2.15,91.31,91.3,13
regionft_d4-GBDT-Credit-sex-d5000000-1,Credit,GBDT,sex,regionft_d4,1,499720,5000000,1,147866,494483,499493,499657,14.4328,14.4679,14.4413,14.4483,14.4524,14.4518,14.451,14.4469,97.96,97.96,5.03,5.03,92.93,92.93,15
regionft_d4-GBDT-Credit-sex-d5000000-2,Credit,GBDT,sex,regionft_d4,2,445315,5000000,1,144612,441238,445150,445268,14.4769,14.4901,14.4393,14.4463,14.4567,14.4551,14.4526,14.4544,94.96,94.96,2.54,2.54,92.42,92.42,16
regionft_d4-GBDT-Credit-sex-d5000000-3,Credit,GBDT,sex,regionft_d4,3,460113,5000000,1,146322,455857,459955,460069,14.4727,14.4594,14.4472,14.4552,14.4474,14.4524,14.448,14.4504,98.22,98.22,5.2,5.2,93.02,93.02,15
regionft_d4-GBDT-Credit-sex-d5000000-4,Credit,GBDT,sex,regionft_d4,4,480761,5000000,1,143705,475857,480555,480708,14.4787,14.4526,14.4629,14.4568,14.4485,14.4474,14.442,14.4465,94.51,94.5,2.56,2.56,91.94,91.94,16
regionft_d6-GBDT-Credit-sex-d5000000-0,Credit,GBDT,sex,regionft_d6,0,481028,5000000,1,146701,476342,480850,480968,14.462,14.4394,14.4632,14.4521,14.4491,14.4497,14.4493,14.4515,97.34,97.34,5.36,5.36,91.98,91.98,46
regionft_d6-GBDT-Credit-sex-d5000000-1,Credit,GBDT,sex,regionft_d6,1,530973,5000000,1,150983,525243,530733,530915,14.4377,14.4678,14.4449,14.4413,14.4479,14.4448,14.4465,14.4458,107.0,107.0,13.18,13.18,93.82,93.82,54
regionft_d6-GBDT-Credit-sex-d5000000-2,Credit,GBDT,sex,regionft_d6,2,482447,5000000,1,149535,477690,482249,482403,14.4111,14.4483,14.4616,14.4465,14.4476,14.4459,14.4454,14.4459,100.57,100.57,6.84,6.83,93.73,93.73,58
regionft_d6-GBDT-Credit-sex-d5000000-3,Credit,GBDT,sex,regionft_d6,3,495539,5000000,1,146172,490547,495354,495481,14.4622,14.4221,14.4481,14.4395,14.4451,14.4398,14.4442,14.4421,106.85,106.85,13.33,13.33,93.52,93.52,54
