region_id,parent_id,depth,size,target_samples,actual_samples,violations,estimated_ratio,gini,best_attr,best_cut,best_gain,gini_weight_mode,max_split_ratio,sampler_weight,sampler_probability,sampling_risk_focus_alpha,sampling_risk_floor,partition_sample_mode,sampler_used_fallback,sampler_draws,sampler_violations,partition_tests_total,partition_violations_total,sampler_tests_total,sampler_violations_total,bounds,split_history,batch_size
1560,808,10,16073640000,1003,1003,0,0.0,0.0,,,0.0,sample,1.0,160736.40000000002,1.492687003144321e-09,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,9:9;3:6;0:74;15:15;2:6;6:6;0:5;0:4;0:1;99:99;0:43;1:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 > 14|x1 > 2|x4 > 1|x9 > 98,512
1561,809,10,1317453984000,1026,1026,57,0.05555555555555555,0.10493827160493827,,,0.0,sample,1.0,73191888000.0,0.0006797003040580401,1.0,1e-05,fresh_region,0,2339,115,1694903,119260,3309056,449557,9:9;0:2;0:74;0:15;0:0;7:13;0:5;0:4;0:1;8:99;0:6;1:33;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 <= 0|x10 <= 33|x11 <= 33|x10 <= 6,512
1562,809,10,5081608224000,1051,1051,55,0.05233111322549953,0.09918513562815895,,,0.0,sample,1.0,265926215337.77356,0.0024695377365055613,1.0,1e-05,fresh_region,0,8232,411,1694903,119260,3309056,449557,9:9;0:2;0:74;0:15;0:0;7:13;0:5;0:4;0:1;8:99;7:33;1:33;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 <= 0|x10 <= 33|x11 <= 33|x10 > 6,512
1563,810,10,277015680000,1012,1012,79,0.07806324110671936,0.14393874298926712,,,0.0,sample,1.0,21624741818.181816,0.00020081929829429728,1.0,1e-05,fresh_region,0,625,40,1694903,119260,3309056,449557,9:9;0:2;0:74;0:15;0:0;7:8;0:5;0:4;0:1;8:99;0:33;34:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 <= 0|x10 <= 33|x11 > 33|x5 <= 8,512
1564,810,10,692539200000,1019,1019,118,0.11579980372914622,0.20478041837087488,,,0.0,sample,1.0,80195903434.73994,0.0007447434604884351,1.0,1e-05,fresh_region,0,2438,263,1694903,119260,3309056,449557,9:9;0:2;0:74;0:15;0:0;9:13;0:5;0:4;0:1;8:99;0:33;34:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 <= 0|x10 <= 33|x11 > 33|x5 > 8,512
1565,811,10,361206720000,1014,1014,83,0.08185404339250493,0.15030791794560572,,,0.0,sample,1.0,29566230532.54438,0.0002745683494709212,1.0,1e-05,fresh_region,0,887,68,1694903,119260,3309056,449557,9:9;0:2;0:74;0:15;0:0;7:13;0:0;0:4;0:1;8:99;34:43;1:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 <= 0|x10 > 33|x6 <= 1|x6 <= 0,512
1566,811,10,361206720000,1014,1014,407,0.40138067061143984,0.4805484557419014,,,0.0,sample,1.0,144981395502.9586,0.0013463773281284933,1.0,1e-05,fresh_region,0,4416,1727,1694903,119260,3309056,449557,9:9;0:2;0:74;0:15;0:0;7:13;1:1;0:4;0:1;8:99;34:43;1:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 <= 0|x10 > 33|x6 <= 1|x6 > 0,512
1567,812,10,180603360000,1010,1010,103,0.10198019801980197,0.1831604744632879,,,0.0,sample,1.0,18417966415.841583,0.00017103941044639123,1.0,1e-05,fresh_region,0,527,61,1694903,119260,3309056,449557,9:9;0:2;0:74;0:1;0:0;7:13;2:5;0:4;0:1;8:99;34:43;1:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 <= 0|x10 > 33|x6 > 1|x3 <= 1,512
1568,812,10,1264223520000,1026,1026,59,0.057504873294346975,0.10839612568349616,,,0.0,sample,1.0,72699013333.33333,0.0006751231976334068,1.0,1e-05,fresh_region,0,2161,95,1694903,119260,3309056,449557,9:9;0:2;0:74;2:15;0:0;7:13;2:5;0:4;0:1;8:99;34:43;1:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 <= 0|x10 > 33|x6 > 1|x3 > 1,512
1569,813,10,2229161472000,1034,1034,29,0.02804642166344294,0.0545196397906386,,,0.0,sample,1.0,62520002599.61316,0.000580595280950623,1.0,1e-05,fresh_region,0,1981,44,1694903,119260,3309056,449557,9:9;0:2;0:24;0:15;1:6;7:8;0:5;0:4;0:1;8:99;0:17;1:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 > 0|x10 <= 17|x2 <= 24|x5 <= 8,512
1570,813,10,5572903680000,1053,1053,137,0.13010446343779677,0.22635458406271955,,,0.0,sample,1.0,725059643076.9231,0.006733304377386722,1.0,1e-05,fresh_region,0,22434,2904,1694903,119260,3309056,449557,9:9;0:2;0:24;0:15;1:6;9:13;0:5;0:4;0:1;8:99;0:17;1:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 > 0|x10 <= 17|x2 <= 24|x5 > 8,512
1571,814,10,14628872160000,1086,1086,4,0.003683241252302026,0.007339349972358733,,,0.0,sample,1.0,53881665414.36464,0.0005003749099257726,1.0,1e-05,fresh_region,0,1639,7,1694903,119260,3309056,449557,9:9;0:2;25:74;0:14;1:6;7:13;0:5;0:4;0:1;8:99;0:17;1:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 > 0|x10 <= 17|x2 > 24|x3 <= 14,512
1572,814,10,975258144000,1023,1023,241,0.23558162267839688,0.36016584346922065,,,0.0,sample,1.0,229752896093.84164,0.00213361231142445,1.0,1e-05,fresh_region,0,7243,1714,1694903,119260,3309056,449557,9:9;0:2;25:74;15:15;1:6;7:13;0:5;0:4;0:1;8:99;0:17;1:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 > 0|x10 <= 17|x2 > 24|x3 > 14,512
1573,815,10,4876290720000,1050,1050,38,0.03619047619047619,0.06976145124716553,,,0.0,sample,1.0,176475283200.0,0.0016388469668902207,1.0,1e-05,fresh_region,0,5468,205,1694903,119260,3309056,449557,9:9;0:2;0:74;0:14;1:6;7:13;0:5;0:4;0:1;8:99;18:21;1:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 > 0|x10 > 17|x10 <= 21|x3 <= 14,512
1574,815,10,325086048000,1013,1013,192,0.1895360315893386,0.30722424863740766,,,0.0,sample,1.0,61615519462.98125,0.0005721957508963623,1.0,1e-05,fresh_region,0,1936,407,1694903,119260,3309056,449557,9:9;0:2;0:74;15:15;1:6;7:13;0:5;0:4;0:1;8:99;18:21;1:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 > 0|x10 > 17|x10 <= 21|x3 > 14,512
1575,816,10,26349079680000,1116,1116,0,0.0,0.0,,,0.0,sample,1.0,263490796.8,2.4469210946089446e-06,1.0,1e-05,fresh_region,0,9,0,1694903,119260,3309056,449557,9:9;0:2;0:74;0:15;1:6;7:13;0:5;0:4;0:1;8:99;22:43;1:35;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 > 0|x10 > 17|x10 > 21|x11 <= 35,512
1576,816,10,2258492544000,1034,1034,25,0.024177949709864602,0.04718675291538372,,,0.0,sample,1.0,54605719148.936165,0.000507098872881102,1.0,1e-05,fresh_region,0,1665,36,1694903,119260,3309056,449557,9:9;0:2;0:74;0:15;1:6;7:13;0:5;0:4;0:1;8:99;22:43;36:38;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 <= 38|x4 > 0|x10 > 17|x10 > 21|x11 > 35,512
1577,817,10,9328044726000,1069,1069,152,0.1421889616463985,0.243942521664635,,,0.0,sample,1.0,1326344993781.1038,0.012317172301374104,1.0,1e-05,fresh_region,0,40679,5463,1694903,119260,3309056,449557,9:9;0:2;0:74;0:12;0:0;7:13;0:5;0:4;0:1;8:99;0:32;39:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 > 38|x10 <= 37|x4 <= 0|x3 <= 12|x10 <= 32,512
